City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
377,Ternate,ID,82.98,overcast clouds,0.8,127.4,
378,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,
380,Ogaminana,NG,75.92,scattered clouds,7.5946,6.2248,
382,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,
385,Manggar,ID,80.02,light rain,-2.8833,108.2667,
392,Davila,PH,78.78,overcast clouds,18.4726,120.5763,
395,Magdalena,PH,82.42,few clouds,14.1999,121.429,
397,Aquiraz,BR,84.22,scattered clouds,-3.9014,-38.3911,
403,Dunmore Town,BS,77.81,clear sky,25.5,-76.65,
404,Dhidhdhoo,MV,82.11,few clouds,6.8833,73.1,
410,Isabela,PH,86.05,overcast clouds,6.7085,121.9711,
411,Wukari,NG,75.43,overcast clouds,7.85,9.7833,
415,Aitape,PG,86.04,broken clouds,-3.1374,142.3475,
416,San Policarpo,PH,79.16,overcast clouds,12.1791,125.5072,
421,Fare,PF,81.18,light rain,-16.7,-151.0167,
424,Salinopolis,BR,79.57,few clouds,-0.6136,-47.3561,
427,Nuevo Progreso,MX,75.6,overcast clouds,23.1667,-97.95,
428,Labuhan,ID,82.08,light rain,-6.8844,112.2051,
431,Mildura,AU,85.06,overcast clouds,-34.2,142.15,
433,Teluknaga,ID,84.63,broken clouds,-6.0989,106.6381,
434,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,
440,Buala,SB,78.4,light rain,-8.145,159.5921,
442,Nargana,PA,80.13,overcast clouds,9.4428,-78.5906,
447,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,
448,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,
450,Mazatlan,MX,76.01,broken clouds,23.2167,-106.4167,
451,Key West,US,77.0,clear sky,24.5557,-81.7826,
453,Tucurui,BR,75.58,overcast clouds,-3.7661,-49.6725,
456,Panama City,PA,81.05,few clouds,8.9936,-79.5197,
464,Puerto Ayacucho,VE,78.01,overcast clouds,5.6639,-67.6236,
465,Manaure,CO,80.1,broken clouds,11.7751,-72.4445,
466,Lagos,NG,80.92,scattered clouds,6.5833,3.75,
471,Khammam,IN,75.11,clear sky,17.25,80.15,
474,Ugoofaaru,MV,82.42,clear sky,5.6667,73.0,
478,Port-Gentil,GA,79.12,light rain,-0.7193,8.7815,
480,Boa Vista,BR,80.58,light rain,2.8197,-60.6733,
484,Malayal,PH,85.8,scattered clouds,7.208,121.942,
493,Luwuk,ID,86.43,moderate rain,-0.9516,122.7875,
494,Biloela,AU,84.6,overcast clouds,-24.4167,150.5,
498,Aden,YE,78.82,clear sky,12.7794,45.0367,
500,Sragen,ID,79.52,overcast clouds,-7.4264,111.0222,
501,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,
504,Manacapuru,BR,79.38,overcast clouds,-3.2997,-60.6206,
505,Ponta Pora,BR,75.42,scattered clouds,-22.5361,-55.7256,
509,Sarangani,PH,82.94,overcast clouds,5.4033,125.4636,
513,Gamba,GA,75.47,light rain,-2.65,10.0,
514,Swan Hill,AU,84.67,overcast clouds,-35.3378,143.5544,
519,Aneho,TG,82.6,overcast clouds,6.2333,1.6,
520,Bima,ID,79.21,overcast clouds,-8.4667,118.7167,
522,Lucea,JM,78.66,clear sky,18.451,-78.1736,
528,Sosua,DO,75.52,scattered clouds,19.7667,-70.5167,
532,Malakal,SS,75.42,clear sky,9.5334,31.6605,
533,Vanimo,PG,88.0,scattered clouds,-2.6741,141.3028,
535,Porto Velho,BR,77.05,light rain,-8.7619,-63.9039,
537,Pemangkat,ID,83.75,broken clouds,1.1667,108.9667,
545,Robertsport,LR,80.87,light rain,6.7533,-11.3686,
546,Mount Gambier,AU,80.51,few clouds,-37.8333,140.7667,
552,Moindou,NC,87.75,broken clouds,-21.6924,165.677,
553,Mount Isa,AU,87.57,overcast clouds,-20.7333,139.5,
554,Jizan,SA,76.14,clear sky,17.3333,42.6667,
561,Whakatane,NZ,75.51,broken clouds,-37.9585,176.9854,
564,Trincomalee,LK,81.03,clear sky,8.5711,81.2335,
569,Curug,ID,84.24,broken clouds,-6.2658,106.5564,
579,Kokopo,PG,83.86,light rain,-4.352,152.2633,
580,Maues,BR,75.52,scattered clouds,-3.3836,-57.7186,
581,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,
597,Beloha,MG,75.0,clear sky,-25.1667,45.05,
601,San Esteban,HN,77.9,few clouds,15.2,-85.75,
602,Hirara,JP,76.86,few clouds,24.8,125.2833,
603,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,
606,Lazaro Cardenas,MX,77.11,broken clouds,17.9583,-102.2,
609,Luanda,AO,76.3,light rain,-8.8368,13.2343,
610,Mocuba,MZ,75.74,scattered clouds,-16.8392,36.9856,
614,Ambilobe,MG,76.23,clear sky,-13.2,49.05,
619,Port Blair,IN,81.3,broken clouds,11.6667,92.75,
623,Galveston,US,75.22,clear sky,29.3669,-94.9669,
626,Orocue,CO,79.68,overcast clouds,4.7912,-71.3354,
628,San Alberto,CO,76.01,overcast clouds,7.7611,-73.3922,
635,Gorontalo,ID,85.66,overcast clouds,0.5412,123.0595,
643,Gambela,ET,77.31,few clouds,8.25,34.5833,
649,Santa Rosa,PH,84.09,scattered clouds,14.3122,121.1114,
651,Albury,AU,77.14,light rain,-36.0833,146.9167,
654,Maceio,BR,78.24,mist,-9.6658,-35.7353,
656,Muswellbrook,AU,75.33,overcast clouds,-32.2667,150.9,
657,Noumea,NC,87.78,overcast clouds,-22.2763,166.4572,
663,Loa Janan,ID,80.74,moderate rain,-0.583,117.095,
672,Mananjary,MG,75.67,clear sky,-21.2167,48.3333,
673,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,
681,Axim,GH,79.3,broken clouds,4.8699,-2.2405,
682,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,
692,Mayumba,GA,75.52,heavy intensity rain,-3.432,10.6554,
704,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,
705,Tabou,CI,78.98,light rain,4.423,-7.3528,
711,Petatlan,MX,75.42,broken clouds,17.5167,-101.2667,
712,Rio Brilhante,BR,75.65,clear sky,-21.8019,-54.5464,
719,Samarai,PG,84.38,overcast clouds,-10.6167,150.6667,
720,Pedernales,DO,78.55,broken clouds,18.0384,-71.744,
722,Kalmunai,LK,80.87,clear sky,7.4167,81.8167,
753,Baybay,PH,83.28,scattered clouds,10.6833,124.8333,
765,Dicabisagan,PH,75.56,broken clouds,17.0818,122.4157,
772,Jamame,SO,76.17,broken clouds,0.0722,42.7506,
773,Quelimane,MZ,80.55,clear sky,-17.8786,36.8883,
774,Bac Lieu,VN,78.19,broken clouds,9.285,105.7244,
783,Phan Thiet,VN,79.57,overcast clouds,10.9333,108.1,
785,Ambon,ID,89.74,few clouds,-3.6954,128.1814,
793,Yenagoa,NG,77.2,overcast clouds,4.9247,6.2642,
794,Victor Harbor,AU,83.19,clear sky,-35.5667,138.6167,
802,Sibolga,ID,84.83,broken clouds,1.7427,98.7792,
803,Sola,VU,81.88,broken clouds,-13.8833,167.55,
810,Harper,LR,79.21,light rain,4.375,-7.7169,
815,Anloga,GH,82.62,broken clouds,5.7947,0.8973,
830,Itarema,BR,80.92,scattered clouds,-2.9248,-39.9167,
832,Kourou,GF,78.12,overcast clouds,5.1552,-52.6478,
840,Barao De Melgaco,BR,75.72,moderate rain,-16.1944,-55.9675,
849,Corowa,AU,78.42,overcast clouds,-36.0333,146.3833,
854,The Valley,AI,81.1,broken clouds,18.217,-63.0578,
858,Cuiaba,BR,75.13,light rain,-15.5961,-56.0967,
859,Puerto Carreno,CO,80.58,overcast clouds,6.189,-67.4859,
861,Jardim,BR,76.12,few clouds,-21.4803,-56.1381,
863,Uribia,CO,79.86,overcast clouds,11.7139,-72.266,
870,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,
872,Caruray,PH,83.82,scattered clouds,10.3094,119.0128,
877,Jaicos,BR,78.3,broken clouds,-7.3592,-41.1378,
880,Iralaya,HN,77.68,clear sky,15.0,-83.2333,
887,Puttur,IN,77.11,overcast clouds,12.7667,75.2167,
903,Angleton,US,75.25,few clouds,29.1694,-95.4319,
905,Santa Cruz,BO,76.46,light rain,-17.8,-63.1667,
906,Monywa,MM,75.0,broken clouds,22.1167,95.1333,
