City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
442,Nargana,PA,80.13,overcast clouds,9.4428,-78.5906,Cabañas Narasgandup (Naranjo Chico)
447,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
448,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Scenic Matavai Resort Niue
450,Mazatlan,MX,76.01,broken clouds,23.2167,-106.4167,Hotel Playamar
451,Key West,US,77.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
453,Tucurui,BR,75.58,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
456,Panama City,PA,81.05,few clouds,8.9936,-79.5197,Riande Urban Hotel
464,Puerto Ayacucho,VE,78.01,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
465,Manaure,CO,80.1,broken clouds,11.7751,-72.4445,Hotel Uribia
466,Lagos,NG,80.92,scattered clouds,6.5833,3.75,Maple Hotel
471,Khammam,IN,75.11,clear sky,17.25,80.15,Hotel Vishnu Residency
474,Ugoofaaru,MV,82.42,clear sky,5.6667,73.0,Sun Siyam Iru Fushi
478,Port-Gentil,GA,79.12,light rain,-0.7193,8.7815,Fengshui Residence
480,Boa Vista,BR,80.58,light rain,2.8197,-60.6733,Aipana Plaza Hotel
484,Malayal,PH,85.8,scattered clouds,7.208,121.942,Two Seasons Executive Suites
493,Luwuk,ID,86.43,moderate rain,-0.9516,122.7875,Hotel Santika Luwuk
494,Biloela,AU,84.6,overcast clouds,-24.4167,150.5,Biloela Silo Motor Inn
498,Aden,YE,78.82,clear sky,12.7794,45.0367,Sama Emirate Hotel
500,Sragen,ID,79.52,overcast clouds,-7.4264,111.0222,Graha Hotel Sragen
501,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,Bahiadomizil
504,Manacapuru,BR,79.38,overcast clouds,-3.2997,-60.6206,Manati Lodge
505,Ponta Pora,BR,75.42,scattered clouds,-22.5361,-55.7256,Hotel Pousada do Bosque
509,Sarangani,PH,82.94,overcast clouds,5.4033,125.4636,Ballistic Islet
513,Gamba,GA,75.47,light rain,-2.65,10.0,Laguna guest house
514,Swan Hill,AU,84.67,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
519,Aneho,TG,82.6,overcast clouds,6.2333,1.6,New Robinson Plage TOGO
520,Bima,ID,79.21,overcast clouds,-8.4667,118.7167,Lambitu Hotel
522,Lucea,JM,78.66,clear sky,18.451,-78.1736,Sunscape Splash Montego Bay
528,Sosua,DO,75.52,scattered clouds,19.7667,-70.5167,Be Live Collection Marien
532,Malakal,SS,75.42,clear sky,9.5334,31.6605,Nile Palace Hotel
533,Vanimo,PG,88.0,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
535,Porto Velho,BR,77.05,light rain,-8.7619,-63.9039,Hotel Central
537,Pemangkat,ID,83.75,broken clouds,1.1667,108.9667,Capital O 1822 Wahana Inn
545,Robertsport,LR,80.87,light rain,6.7533,-11.3686,Kwepunha Retreat
546,Mount Gambier,AU,80.51,few clouds,-37.8333,140.7667,The Commodore
552,Moindou,NC,87.75,broken clouds,-21.6924,165.677,Sheraton New Caledonia Deva Spa & Golf Resort
553,Mount Isa,AU,87.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
554,Jizan,SA,76.14,clear sky,17.3333,42.6667,Aseel Hotel Apartment
561,Whakatane,NZ,75.51,broken clouds,-37.9585,176.9854,Pacific Coast Motel
564,Trincomalee,LK,81.03,clear sky,8.5711,81.2335,Nilaveli Beach Hotel
569,Curug,ID,84.24,broken clouds,-6.2658,106.5564,BC Lintas Padat Karya
579,Kokopo,PG,83.86,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
580,Maues,BR,75.52,scattered clouds,-3.3836,-57.7186,Hotel Miramar
581,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
597,Beloha,MG,75.0,clear sky,-25.1667,45.05,
601,San Esteban,HN,77.9,few clouds,15.2,-85.75,TORO MUERTO
602,Hirara,JP,76.86,few clouds,24.8,125.2833,宮古島東急ホテル＆リゾーツ
603,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,The Ravenala Attitude Hotel
606,Lazaro Cardenas,MX,77.11,broken clouds,17.9583,-102.2,quinta antigua
609,Luanda,AO,76.3,light rain,-8.8368,13.2343,Hotel Fórum
610,Mocuba,MZ,75.74,scattered clouds,-16.8392,36.9856,Phama Lodge
614,Ambilobe,MG,76.23,clear sky,-13.2,49.05,Iharana Bush Camp
619,Port Blair,IN,81.3,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
623,Galveston,US,75.22,clear sky,29.3669,-94.9669,Hilton Galveston Island Resort
626,Orocue,CO,79.68,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
628,San Alberto,CO,76.01,overcast clouds,7.7611,-73.3922,Hotel Mirador Del Lago
635,Gorontalo,ID,85.66,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
643,Gambela,ET,77.31,few clouds,8.25,34.5833,Solomon Debebe Hotel
649,Santa Rosa,PH,84.09,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
651,Albury,AU,77.14,light rain,-36.0833,146.9167,Albury Georgian Motel & Suites
654,Maceio,BR,78.24,mist,-9.6658,-35.7353,Poutur Pousada
656,Muswellbrook,AU,75.33,overcast clouds,-32.2667,150.9,Wayfarer Motel
657,Noumea,NC,87.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
663,Loa Janan,ID,80.74,moderate rain,-0.583,117.095,Aston Samarinda Hotel & Convention Center
672,Mananjary,MG,75.67,clear sky,-21.2167,48.3333,Vahiny Lodge
673,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
681,Axim,GH,79.3,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
682,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
692,Mayumba,GA,75.52,heavy intensity rain,-3.432,10.6554,LIKWALE LODGE
704,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
705,Tabou,CI,78.98,light rain,4.423,-7.3528,hotêl doufoulougou
711,Petatlan,MX,75.42,broken clouds,17.5167,-101.2667,La Casa Que Canta
712,Rio Brilhante,BR,75.65,clear sky,-21.8019,-54.5464,Hotel Cattani
719,Samarai,PG,84.38,overcast clouds,-10.6167,150.6667,Nuli Sapi
720,Pedernales,DO,78.55,broken clouds,18.0384,-71.744,Eco del Mar
722,Kalmunai,LK,80.87,clear sky,7.4167,81.8167,Thompukandam Village Resort
753,Baybay,PH,83.28,scattered clouds,10.6833,124.8333,JYN'S HOTEL AND RESIDENCES
765,Dicabisagan,PH,75.56,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
772,Jamame,SO,76.17,broken clouds,0.0722,42.7506,Bulo gudud home
773,Quelimane,MZ,80.55,clear sky,-17.8786,36.8883,Hotel Flamingo
774,Bac Lieu,VN,78.19,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
783,Phan Thiet,VN,79.57,overcast clouds,10.9333,108.1,Hotel Saigon-PT
785,Ambon,ID,89.74,few clouds,-3.6954,128.1814,The Natsepa
793,Yenagoa,NG,77.2,overcast clouds,4.9247,6.2642,Ayalla Hotels Limited
794,Victor Harbor,AU,83.19,clear sky,-35.5667,138.6167,McCracken Country Club
802,Sibolga,ID,84.83,broken clouds,1.7427,98.7792,SPOT ON 2220 PINK'S GUEST HOUSE
803,Sola,VU,81.88,broken clouds,-13.8833,167.55,Leumerus Bungalows
810,Harper,LR,79.21,light rain,4.375,-7.7169,Screensaver
815,Anloga,GH,82.62,broken clouds,5.7947,0.8973,Cocoloko Beach Resort
830,Itarema,BR,80.92,scattered clouds,-2.9248,-39.9167,The Spot - Beachfront Sports Pousada
832,Kourou,GF,78.12,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
840,Barao De Melgaco,BR,75.72,moderate rain,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
849,Corowa,AU,78.42,overcast clouds,-36.0333,146.3833,Statesman Motor Inn
854,The Valley,AI,81.1,broken clouds,18.217,-63.0578,"Sonesta Maho Beach Resort, Casino & Spa"
858,Cuiaba,BR,75.13,light rain,-15.5961,-56.0967,Getúllio Hotel
859,Puerto Carreno,CO,80.58,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
861,Jardim,BR,76.12,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
863,Uribia,CO,79.86,overcast clouds,11.7139,-72.266,Hotel Uribia
870,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Palau Royal Resort
872,Caruray,PH,83.82,scattered clouds,10.3094,119.0128,Sheridan Beach Resort and Spa
877,Jaicos,BR,78.3,broken clouds,-7.3592,-41.1378,Hotel Jaicós
880,Iralaya,HN,77.68,clear sky,15.0,-83.2333,Iglesia morava renovada
887,Puttur,IN,77.11,overcast clouds,12.7667,75.2167,Thalathoor Heritage
903,Angleton,US,75.25,few clouds,29.1694,-95.4319,Ocean Village Hotel
905,Santa Cruz,BO,76.46,light rain,-17.8,-63.1667,Aviador Hotel Boutique
906,Monywa,MM,75.0,broken clouds,22.1167,95.1333,Monywa Hotel
909,Guasdualito,VE,76.96,scattered clouds,7.2424,-70.7324,Hotel Verano Plaza
911,Pangai,TO,84.31,few clouds,-19.8,-174.35,Sandy Beach Resort
912,San Carlos,VE,76.51,broken clouds,9.6612,-68.5827,Hotel Paternopoli
918,Pontianak,ID,84.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
925,Conakry,GN,76.35,overcast clouds,9.538,-13.6773,Golden Plazza
931,Gold Coast,AU,84.16,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
935,San-Pedro,CI,78.48,scattered clouds,4.7485,-6.6363,Hotel Maria
948,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
950,Nalvo,PH,80.91,scattered clouds,16.8096,120.5108,Costa Villa Beach Resort
951,Kununurra,AU,87.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
952,Banjar,ID,80.46,heavy intensity rain,-8.19,114.9675,Lovina Beach Hotel
954,Blackwater,AU,85.8,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
957,Gizo,SB,83.98,light rain,-8.103,156.8419,Imagination Island
959,Tubuala,PA,79.34,overcast clouds,9.5167,-79.0333,Cabañas Narasgandup (Naranjo Chico)
961,Tadine,NC,81.09,broken clouds,-21.55,167.8833,Hotel Nengone Village
962,Kulhudhuffushi,MV,81.9,few clouds,6.6221,73.07,The Barefoot Eco Hotel
963,Warri,NG,77.58,overcast clouds,5.5167,5.75,BON Hotel Delta
967,Mlonggo,ID,84.09,overcast clouds,-6.5333,110.7,Jepara Beach Hotel
971,Parnamirim,BR,79.14,scattered clouds,-5.9156,-35.2628,Pousada Joaci
979,Kapit,MY,78.1,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
980,Maryborough,AU,80.11,light rain,-25.5333,152.7,Shelly Bay Resort
984,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Baganara Island Resort
985,Sulangan,PH,81.55,scattered clouds,11.1373,123.7228,Amihan Beach Cabanas
987,Kirakira,SB,78.93,light rain,-10.4544,161.9205,SanBiz Lodge
990,Basco,PH,75.52,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
993,Madimba,TZ,77.38,light rain,-10.4,40.3333,TIL Hotels Mtwara
1008,Lufilufi,WS,85.78,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
1011,Chirongui,YT,78.73,clear sky,-12.9319,45.1483,Perle du Sud
1012,Tucuma,BR,76.28,light rain,-0.1833,-50.05,Hotel Dias
1015,Lighthouse Point,US,75.0,few clouds,26.2756,-80.0873,Residence Inn by Marriott Fort Lauderdale Pompano Beach/Oceanfront
1017,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,HÔTEL TAHITI IA ORA BEACH RESORT
1020,Akyab,MM,80.29,broken clouds,20.15,92.9,Hotel Memory
1026,Indramayu,ID,81.28,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
1031,Saposoa,PE,77.61,overcast clouds,-6.934,-76.7716,Cuchitril
1035,Chodavaram,IN,78.64,broken clouds,17.8333,82.95,Best Western Ramachandra Hotel
1039,Matara,LK,80.1,broken clouds,5.9485,80.5353,Palm Paradise Cabanas & Villas Beach Resort Tangalle
1044,Puro,PH,81.43,few clouds,12.4841,123.3827,Jomajean Garden
1045,San Pedro De Macoris,DO,77.49,overcast clouds,18.4616,-69.2972,Apartahotel Guaraguao
1052,Inhambane,MZ,75.51,clear sky,-23.865,35.3833,Lobster Chalets
1055,Sao Miguel,BR,79.57,scattered clouds,-5.4667,-35.3667,Dunas e Corais Praia Hotel
1062,Banda Aceh,ID,82.31,broken clouds,5.5577,95.3222,Sulthan Hotel International
1068,Dalby,AU,85.98,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
1069,Galle,LK,80.24,scattered clouds,6.0367,80.217,Citrus Hikkaduwa
1075,Miri,MY,78.94,scattered clouds,4.4148,114.0089,ParkCity Everly Hotel
1086,Morondava,MG,78.62,clear sky,-20.2833,44.2833,La Case Bambou
1091,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
1096,Tubigan,PH,81.9,overcast clouds,8.5322,124.3122,Hotel Conchita
1103,Brazzaville,CG,75.56,moderate rain,-4.2658,15.2832,Hotel Muesse
1114,Conceicao Das Alagoas,BR,78.58,overcast clouds,-19.9147,-48.3883,Bouganville Hotel
1129,Mtwara,TZ,77.43,light rain,-10.2667,40.1833,TIL Hotels Mtwara
1130,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Nobile Suítes Tambaú
1131,Kualakapuas,ID,80.76,overcast clouds,-3.0091,114.3876,Airy Kayu Tangi Brigjen Hasan Basri 70 Banjarmasin
1135,Maunabo,PR,80.44,overcast clouds,18.0072,-65.8993,Parador Palmas De Lucia
1143,Bonthe,SL,79.27,few clouds,7.5264,-12.505,Bonthe Holiday Village
1144,Koungou,YT,78.51,few clouds,-12.7336,45.2042,Perle du Sud
1150,Ipixuna,BR,76.95,overcast clouds,-1.7625,-48.8043,Hotel Joanayna
1153,Richards Bay,ZA,76.33,overcast clouds,-28.783,32.0377,Imvubu Lodge
1156,Merauke,ID,86.41,overcast clouds,-8.4667,140.3333,Swiss-Belhotel Merauke
1157,Fortaleza,BR,84.25,scattered clouds,-3.7227,-38.5247,Hotel Sonata de Iracema
1167,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Bokor Hill Station
1168,Coro,VE,77.61,overcast clouds,11.4045,-69.6734,Federal
1173,Ciudad Guayana,VE,76.51,scattered clouds,8.3533,-62.6528,Eurobuilding Hotel Plaza Guayana
1175,Thiruvarur,IN,81.93,clear sky,10.7667,79.65,Vinayaga by Poppys - Kumbakonam
1177,Teluk Nibung,ID,81.72,overcast clouds,3.001,99.8164,Hotel Assyifa
1184,Manokwari,ID,84.24,overcast clouds,-0.8667,134.0833,ASTON Niu Manokwari Hotel and Conference Center
1190,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Fema Lodge
1191,Yendi,GH,75.16,overcast clouds,9.4427,-0.0099,Eyarro Lodge
1192,Broken Hill,AU,78.51,broken clouds,-31.95,141.4333,Royal Exchange Hotel
1194,Cap Malheureux,MU,77.49,scattered clouds,-19.9842,57.6142,The Ravenala Attitude Hotel
1203,Marsh Harbour,BS,77.22,few clouds,26.5412,-77.0636,Bahama Beach Club
1204,Bambanglipuro,ID,80.85,light rain,-7.95,110.2833,Novotel Yogyakarta
1206,Aparecida Do Taboado,BR,77.52,broken clouds,-20.0867,-51.0936,Litani Park Hotel - Hotel Santa Fé do Sul
1211,Coruripe,BR,76.77,scattered clouds,-10.1256,-36.1756,Hotel Fazenda Maresia
1213,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Hilton Barbados Resort
1215,Chauk,MM,76.93,clear sky,20.8833,94.8167,Bagan Thande Hotel
1227,Alim,PH,82.13,overcast clouds,9.5649,122.4876,Punta Bulata Resort & Spa
1255,Sokoni,TZ,78.64,light rain,-6.4333,39.55,Paje By Night
1263,Tulagi,SB,82.2,light rain,-9.0996,160.1476,Raiders Hotel & Dive
1271,Razole,IN,80.89,clear sky,16.4833,81.8333,swayamprabha service apartments
1273,Sorong,ID,84.61,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
1275,Sri Aman,MY,78.85,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
1281,Moroni,KM,78.75,broken clouds,-11.7022,43.2551,Hotel les Arcades
1285,Koungheul,SN,76.66,overcast clouds,13.9833,-14.8,Campement de Chasse Bambouk
1288,Matinhos,BR,75.65,overcast clouds,-25.8175,-48.5428,Hotel Santa Paula
